Train,Time_Steps,Extrinsic Reward,Extrinsic Reward Rate,Critic_Loss,Actor_loss,Curiosity_Loss,Forward_Loss,Inverse_Loss
Train,896000,90.0,0.017578125,1.0785918,0.5109231,2.6741629,0.0031571046,2.6710057
Train,901120,130.0,0.025390625,1.7192211,0.9054296,2.6716106,0.003168527,2.6684422
Train,906240,100.0,0.01953125,1.5381222,0.7651151,2.6767433,0.003469695,2.6732738
Train,911360,70.0,0.013671875,0.92108405,0.27464908,2.6744254,0.0039177346,2.6705077
Train,916480,50.0,0.009765625,0.6131368,0.08616357,2.6712098,0.003996376,2.6672134
Train,921600,110.0,0.021484375,1.3202975,0.21779811,2.6732311,0.00423039,2.6690004
Train,926720,60.0,0.01171875,0.8735204,0.22337368,2.6723855,0.0037016154,2.6686838
Train,931840,70.0,0.013671875,0.81757194,0.0926073,2.675202,0.0035956248,2.6716063
Train,936960,80.0,0.015625,1.0248374,0.29750878,2.6712112,0.0035735609,2.6676376
Train,942080,120.0,0.0234375,1.6489143,0.48137262,2.6585772,0.00410801,2.6544693
Train,947200,110.0,0.021484375,1.3995275,0.3352349,2.6625488,0.005150951,2.657398
Train,952320,110.0,0.021484375,1.523613,0.3658976,2.6660364,0.005476801,2.6605597
Train,957440,50.0,0.009765625,0.76565087,0.101138994,2.664508,0.0046833027,2.659825
Train,962560,100.0,0.01953125,0.99611014,-0.0452388,2.670911,0.0045349062,2.6663759
Train,967680,80.0,0.015625,1.0471886,-0.004739547,2.6607769,0.0039006234,2.6568763
Train,972800,120.0,0.0234375,1.81987,0.33932486,2.6536179,0.0046662637,2.6489518
Train,977920,60.0,0.01171875,0.80498356,-0.059045143,2.6518795,0.005725704,2.646154
Train,983040,150.0,0.029296875,2.0363464,0.90868556,2.6426713,0.005577317,2.6370943
Train,988160,150.0,0.029296875,1.7042515,0.6096626,2.6536682,0.0054746126,2.6481934
Train,993280,110.0,0.021484375,1.3222361,0.28327957,2.6517968,0.0061939913,2.645603
Train,998400,90.0,0.017578125,1.0562304,0.3810203,2.6400144,0.006810552,2.6332035
Train,1003520,130.0,0.025390625,1.4071074,0.2360094,2.6401374,0.006091786,2.6340456
Train,1008640,90.0,0.017578125,0.8709133,0.17780998,2.6403873,0.0054735015,2.6349137
Train,1013760,80.0,0.015625,0.83529216,0.13849354,2.6449125,0.005195698,2.6397166
Train,1018880,120.0,0.0234375,1.4203243,0.3401333,2.6206555,0.0061501195,2.6145055
Train,1024000,150.0,0.029296875,1.4278697,0.44791833,2.6408489,0.0062686712,2.6345804
Train,1029120,150.0,0.029296875,1.5389708,0.3904225,2.618668,0.008230879,2.6104372
Train,1034240,100.0,0.01953125,1.0032285,0.21682313,2.630917,0.0081369905,2.6227803
Train,1039360,60.0,0.01171875,0.8014895,0.039480217,2.6289525,0.0078699775,2.6210823
Train,1044480,40.0,0.0078125,0.4253385,-0.18661427,2.6298072,0.0065340037,2.6232734
Train,1049600,180.0,0.03515625,1.8342758,0.7653448,2.621872,0.0066527724,2.615219
Train,1054720,160.0,0.03125,1.9277958,0.5985613,2.6198256,0.007161412,2.612664
Train,1059840,140.0,0.02734375,1.3551804,0.37832618,2.6342132,0.0069043944,2.6273086
Train,1064960,70.0,0.013671875,0.7772728,0.04312733,2.632169,0.008552651,2.6236165
Train,1070080,90.0,0.017578125,1.1876875,0.22091693,2.6202638,0.008067078,2.612197
Train,1075200,140.0,0.02734375,1.5913035,0.40407228,2.6266065,0.0058548525,2.6207516
Train,1080320,120.0,0.0234375,1.5253801,0.37996545,2.6226094,0.005692401,2.6169171
Train,1085440,140.0,0.02734375,1.7986168,0.7277275,2.6126919,0.0066634417,2.6060283
Train,1090560,160.0,0.03125,1.3593873,0.02450259,2.5815625,0.008842287,2.5727203
Train,1095680,120.0,0.0234375,1.3379608,0.1334247,2.5803688,0.012540445,2.5678284
Train,1100800,110.0,0.021484375,1.165389,0.20401105,2.6014397,0.011610623,2.5898292
Train,1105920,150.0,0.029296875,1.6345128,0.49033272,2.591062,0.009696784,2.5813653
Train,1111040,90.0,0.017578125,0.97313976,0.1626712,2.6017327,0.007743484,2.5939891
Train,1116160,160.0,0.03125,1.462252,0.3775767,2.6014583,0.007570024,2.593888
Train,1121280,90.0,0.017578125,0.7066114,0.044279706,2.5710971,0.0100518,2.5610452
Train,1126400,140.0,0.02734375,1.0023745,0.03295103,2.573366,0.0103818765,2.5629838
Train,1131520,140.0,0.02734375,1.3084235,0.3648024,2.587206,0.0108505115,2.5763555
Train,1136640,100.0,0.01953125,1.2817715,0.42582557,2.5805445,0.010886232,2.569658
Train,1141760,120.0,0.0234375,1.3657788,0.5874211,2.5895088,0.008251232,2.5812576
Train,1146880,110.0,0.021484375,1.2857789,0.5332348,2.5864818,0.008521454,2.5779605
Train,1152000,180.0,0.03515625,1.7756361,0.48893264,2.5660791,0.010601327,2.5554779
Train,1157120,140.0,0.02734375,1.3817681,0.47189054,2.560258,0.010638595,2.5496194
Train,1162240,190.0,0.037109375,1.5090803,0.442565,2.569271,0.010143608,2.5591276
Train,1167360,50.0,0.009765625,0.6258063,-0.038174666,2.5743282,0.009987385,2.5643408
Train,1172480,140.0,0.02734375,1.266015,-0.17979155,2.5652864,0.008784408,2.556502
Train,1177600,140.0,0.02734375,1.1696099,0.11108073,2.56245,0.010706031,2.5517437
Train,1182720,100.0,0.01953125,0.78302044,-0.27516216,2.5586789,0.0104360655,2.5482428
Train,1187840,180.0,0.03515625,1.4706491,0.29598567,2.5800383,0.008844134,2.5711942
Train,1192960,170.0,0.033203125,1.7289715,0.56710523,2.5574281,0.008957795,2.5484703
Train,1198080,220.0,0.04296875,1.6215937,0.28697813,2.5596445,0.009295239,2.5503495
Train,1203200,200.0,0.0390625,2.1377285,0.9044623,2.5295649,0.010881868,2.5186832
Train,1208320,140.0,0.02734375,1.3425254,0.5921643,2.5292253,0.011741653,2.517484
