Type,Time_Steps,Total_Rewards,Reward_Rate
Train - Datasize: 10000 ,1180000,1030.0,0.103
Test - Datasize: 5000,1180000,490.0,0.098
Train - Datasize: 10000 ,1190000,970.0,0.097
Test - Datasize: 5000,1190000,510.0,0.102
Train - Datasize: 10000 ,1200000,830.0,0.083
Test - Datasize: 5000,1200000,380.0,0.076
Train - Datasize: 10000 ,1210000,640.0,0.064
Test - Datasize: 5000,1210000,420.0,0.084
Train - Datasize: 10000 ,1220000,900.0,0.09
Test - Datasize: 5000,1220000,500.0,0.1
Train - Datasize: 10000 ,1230000,1030.0,0.103
Test - Datasize: 5000,1230000,550.0,0.11
Train - Datasize: 10000 ,1240000,1010.0,0.101
Test - Datasize: 5000,1240000,510.0,0.102
Train - Datasize: 10000 ,1250000,900.0,0.09
Test - Datasize: 5000,1250000,460.0,0.092
Train - Datasize: 10000 ,1260000,840.0,0.084
Test - Datasize: 5000,1260000,360.0,0.072
Train - Datasize: 10000 ,1270000,1020.0,0.102
Test - Datasize: 5000,1270000,560.0,0.112
Train - Datasize: 10000 ,1280000,940.0,0.094
Test - Datasize: 5000,1280000,500.0,0.1
Train - Datasize: 10000 ,1290000,1030.0,0.103
Test - Datasize: 5000,1290000,540.0,0.108
Train - Datasize: 10000 ,1300000,1150.0,0.115
Test - Datasize: 5000,1300000,560.0,0.112
Train - Datasize: 10000 ,1310000,1060.0,0.106
Test - Datasize: 5000,1310000,390.0,0.078
Train - Datasize: 10000 ,1320000,1200.0,0.12
Test - Datasize: 5000,1320000,540.0,0.108
Train - Datasize: 10000 ,1330000,1210.0,0.121
Test - Datasize: 5000,1330000,620.0,0.124
Train - Datasize: 10000 ,1340000,1090.0,0.109
Test - Datasize: 5000,1340000,650.0,0.13
Train - Datasize: 10000 ,1350000,1060.0,0.106
Test - Datasize: 5000,1350000,600.0,0.12
Train - Datasize: 10000 ,1360000,1170.0,0.117
Test - Datasize: 5000,1360000,530.0,0.106
Train - Datasize: 10000 ,1370000,1190.0,0.119
Test - Datasize: 5000,1370000,470.0,0.094
Train - Datasize: 10000 ,1380000,1120.0,0.112
Test - Datasize: 5000,1380000,670.0,0.134
Train - Datasize: 10000 ,1390000,1050.0,0.105
Test - Datasize: 5000,1390000,500.0,0.1
Train - Datasize: 10000 ,1400000,1110.0,0.111
Test - Datasize: 5000,1400000,520.0,0.104
Train - Datasize: 10000 ,1410000,1090.0,0.109
Test - Datasize: 5000,1410000,510.0,0.102
Train - Datasize: 10000 ,1420000,1020.0,0.102
Test - Datasize: 5000,1420000,510.0,0.102
Train - Datasize: 10000 ,1430000,890.0,0.089
Test - Datasize: 5000,1430000,470.0,0.094
Train - Datasize: 10000 ,1440000,1240.0,0.124
Test - Datasize: 5000,1440000,570.0,0.114
Train - Datasize: 10000 ,1450000,1040.0,0.104
Test - Datasize: 5000,1450000,520.0,0.104
Train - Datasize: 10000 ,1460000,1170.0,0.117
Test - Datasize: 5000,1460000,500.0,0.1
Train - Datasize: 10000 ,1470000,970.0,0.097
