Type,Time_Steps,Total_Rewards,Reward_Rate,Critic_Loss,Actor_Loss,Total_Loss
Train,604160,350,0.068359375,2.3240442,0.31127927,2.6353235
Test,604160,340,0.06640625,,,
Train,609280,320,0.0625,2.2213888,0.23323645,2.4546254
Test,609280,370,0.072265625,,,
Train,614400,310,0.060546875,1.7053223,-0.09829107,1.6070312
Test,614400,270,0.052734375,,,
Train,619520,250,0.048828125,1.5896095,0.062476456,1.652086
Test,619520,310,0.060546875,,,
Train,624640,300,0.05859375,2.3888562,0.23664425,2.6255004
Test,624640,260,0.05078125,,,
Train,629760,340,0.06640625,1.8962263,0.0906667,1.9868929
Test,629760,350,0.068359375,,,
Train,634880,350,0.068359375,2.5705152,0.5341886,3.104704
Test,634880,350,0.068359375,,,
Train,640000,350,0.068359375,2.4449158,0.48159948,2.9265153
Test,640000,310,0.060546875,,,
Train,645120,310,0.060546875,1.6703827,0.22734632,1.897729
Test,645120,310,0.060546875,,,
Train,650240,390,0.076171875,1.852367,0.07298457,1.9253516
Test,650240,350,0.068359375,,,
Train,655360,310,0.060546875,1.8125908,0.28035304,2.092944
Test,655360,370,0.072265625,,,
Train,660480,230,0.044921875,1.5506349,0.111131564,1.6617664
Test,660480,310,0.060546875,,,
Train,665600,300,0.05859375,1.6501786,0.0653331,1.7155117
Test,665600,380,0.07421875,,,
Train,670720,310,0.060546875,2.066959,0.20189266,2.2688515
Test,670720,300,0.05859375,,,
Train,675840,330,0.064453125,2.258688,0.5299905,2.7886784
Test,675840,270,0.052734375,,,
Train,680960,290,0.056640625,2.1222699,0.40540946,2.5276794
Test,680960,340,0.06640625,,,
Train,686080,310,0.060546875,2.0890286,0.1235735,2.2126021
Test,686080,350,0.068359375,,,
Train,691200,290,0.056640625,2.2801316,0.32239804,2.6025295
Test,691200,350,0.068359375,,,
Train,696320,300,0.05859375,1.7368578,-0.004517782,1.73234
Test,696320,340,0.06640625,,,
Train,701440,340,0.06640625,1.87421,-0.085178226,1.7890317
Test,701440,330,0.064453125,,,
Train,706560,220,0.04296875,1.6166538,0.17982703,1.7964809
Test,706560,300,0.05859375,,,
Train,711680,310,0.060546875,2.5008333,0.3791321,2.8799653
Test,711680,440,0.0859375,,,
Train,716800,340,0.06640625,1.9125067,0.17425095,2.0867577
Test,716800,320,0.0625,,,
Train,721920,360,0.0703125,1.9213997,0.048304826,1.9697045
Test,721920,330,0.064453125,,,
Train,727040,320,0.0625,2.2258549,0.2210002,2.446855
Test,727040,350,0.068359375,,,
Train,732160,340,0.06640625,2.2205837,0.12774138,2.348325
Test,732160,340,0.06640625,,,
Train,737280,340,0.06640625,2.453801,0.3523385,2.8061395
Test,737280,370,0.072265625,,,
Train,742400,340,0.06640625,1.8254486,0.1428911,1.9683397
Test,742400,280,0.0546875,,,
Train,747520,320,0.0625,1.8667732,0.1890451,2.0558183
Test,747520,320,0.0625,,,
Train,752640,360,0.0703125,2.186384,0.13451634,2.3209002
Test,752640,420,0.08203125,,,
Train,757760,380,0.07421875,2.7192986,0.49377888,3.2130775
Test,757760,330,0.064453125,,,
Train,762880,360,0.0703125,2.3087194,0.2938076,2.602527
Test,762880,320,0.0625,,,
Train,768000,290,0.056640625,1.9070987,0.19784166,2.1049404
Test,768000,260,0.05078125,,,
Train,773120,330,0.064453125,1.6664616,0.16386826,1.8303299
Test,773120,340,0.06640625,,,
Train,778240,370,0.072265625,2.3009737,0.13312177,2.4340954
Test,778240,310,0.060546875,,,
Train,783360,390,0.076171875,2.355793,0.09587765,2.4516706
Test,783360,330,0.064453125,,,
Train,788480,330,0.064453125,2.453007,0.4284845,2.8814914
Test,788480,320,0.0625,,,
Train,793600,270,0.052734375,1.5184698,0.123436294,1.6419061
Test,793600,390,0.076171875,,,
Train,798720,370,0.072265625,2.3727403,0.25711167,2.6298518
Test,798720,360,0.0703125,,,
Train,803840,310,0.060546875,1.9688838,0.10000401,2.0688877
Test,803840,350,0.068359375,,,
Train,808960,340,0.06640625,2.3600233,0.22039396,2.5804172
Test,808960,300,0.05859375,,,
Train,814080,360,0.0703125,1.801973,0.051190436,1.8531635
Test,814080,290,0.056640625,,,
Train,819200,380,0.07421875,2.722156,0.25225186,2.974408
Test,819200,360,0.0703125,,,
Train,824320,260,0.05078125,1.6876453,0.12701997,1.8146653
Test,824320,370,0.072265625,,,
Train,829440,300,0.05859375,1.7840484,-0.017072137,1.7669764
Test,829440,370,0.072265625,,,
Train,834560,340,0.06640625,2.2498205,0.33529985,2.5851202
Test,834560,330,0.064453125,,,
Train,839680,290,0.056640625,1.9682112,0.32766932,2.2958806
Test,839680,330,0.064453125,,,
Train,844800,300,0.05859375,2.0845401,0.35612345,2.4406636
Test,844800,340,0.06640625,,,
